algo,run,env_step,explained_variance,mean_episode_reward,steps_per_sec,entropy,ghi_chu
PPO,ppo_v2,157696,0.8687281225176473,4269.566349475661,11.891545598228234,-1.714262807369232,"reward raw, penalty 1000"
PPO,ppo_v2,158720,0.7566458277487949,4241.455765779438,11.869615227560482,-1.7145265266299248,"reward raw, penalty 1000"
PPO,ppo_v2,159744,0.8667930978598402,4580.235154738524,12.035099740380607,-1.7147651389241219,"reward raw, penalty 1000"
PPO,ppo_v2,160768,0.9722524983224919,5276.398037968252,12.024790373410912,-1.7149144038558006,"reward raw, penalty 1000"
PPO,ppo_v2,161792,0.7575241087398841,4830.539615435257,12.014480269584947,-1.7157281026244164,"reward raw, penalty 1000"
PPO,ppo_v2,162816,0.8460873780809528,4815.078402974987,12.021091587017954,-1.7167227193713188,"reward raw, penalty 1000"
PPO,ppo_v2,163840,0.8945184046643525,4767.081321625047,11.872740699065993,-1.7174514070153237,"reward raw, penalty 1000"
PPO,ppo_v3,164864,0.9245368192847817,1387.7959717176911,14.033862704032188,-1.7173895835876465,"reward raw, w_lane 8"
PPO,ppo_v3,165888,0.8755762470542134,3110.06935000009,15.021330752867065,-1.7173895835876465,"reward raw, w_lane 8"
PPO,ppo_v3,166912,0.8632534507694317,3937.375707475944,15.137776369967563,-1.7173895835876465,"reward raw, w_lane 8"
PPO,ppo_v3,167936,0.8579177404700868,4049.1762420481446,14.809089202012617,-1.7173895835876465,"reward raw, w_lane 8"
PPO,ppo_v3,168960,0.8819625736387834,4315.994239907167,14.730279248642896,-1.7173895835876465,"reward raw, w_lane 8"
PPO,ppo_v3,169984,0.8888010045801182,4199.579207619326,15.424357807718721,-1.7173895835876465,"reward raw, w_lane 8"
PPO,ppo_v3,171008,0.8430297110341134,3146.4518406162283,15.195670445621046,-1.7173895835876465,"reward raw, w_lane 8"
PPO,ppo_v3,172032,0.7365672871832001,3260.3614421058182,15.464856386362973,-1.7173895835876465,"reward raw, w_lane 8"
PPO,ppo_v3,173056,0.9611366619806426,2368.904090743182,15.298744658805138,-1.7173895835876465,"reward raw, w_lane 8"
PPO,ppo_v3,174080,0.963651242987549,2045.86616147546,15.363956408228201,-1.7173895835876465,"reward raw, w_lane 8"
PPO,ppo_v3,175104,0.8323048544651858,2024.2900034886923,11.990958061979073,-1.7176893159747124,"reward raw, w_lane 8"
PPO,ppo_v3,176128,0.9671859613207948,2416.3388054266425,12.055077004025648,-1.7189969286322593,"reward raw, w_lane 8"
PPO,ppo_v3,177152,0.845763335389278,3049.7434804641307,12.046015107192261,-1.720378151535988,"reward raw, w_lane 8"
PPO,ppo_v3,178176,0.9337621617964718,3357.828778826054,11.92549416514308,-1.7207081586122512,"reward raw, w_lane 8"
PPO,ppo_v3,179200,0.9589109206037626,3134.5492978362327,11.79871780283269,-1.7214805901050567,"reward raw, w_lane 8"
PPO,ppo_v3,180224,0.8848329261352805,3768.2002165100566,11.963337070240339,-1.7216927051544189,"reward raw, w_lane 8"
PPO,ppo_v3,181248,0.9215450096003058,4043.041486440748,12.060345994220908,-1.7223748594522477,"reward raw, w_lane 8"
PPO,ppo_v3,182272,0.9413450651365697,4214.031616731547,11.83344541486936,-1.7228786140680312,"reward raw, w_lane 8"
PPO,ppo_v3,183296,0.9336616320864447,4320.109763428148,12.006555791518243,-1.723718249797821,"reward raw, w_lane 8"
PPO,ppo_v3,184320,0.871800755927349,4565.177766817991,12.058560386383586,-1.7241723507642746,"reward raw, w_lane 8"
PPO,ppo_v3,185344,0.8463226149928859,4689.561062339826,11.972691128938814,-1.7244277641177177,"reward raw, w_lane 8"
PPO,ppo_v3,186368,0.6952637370896766,4472.686169033219,11.963284619980836,-1.7244791224598885,"reward raw, w_lane 8"
PPO,ppo_v3,187392,0.5882304559438805,4739.354461369308,12.06489600511369,-1.7248967319726944,"reward raw, w_lane 8"
PPO,ppo_v3,188416,0.9326598609142339,4751.998636904928,11.852835552396984,-1.7256478920578957,"reward raw, w_lane 8"
PPO,ppo_v3,189440,0.17517651663491884,4748.638413661773,11.939389172362663,-1.7256437063217163,"reward raw, w_lane 8"
PPO,ppo_v3,190464,0.8677812223405557,4697.249979027924,11.848433170163856,-1.7257139846682548,"reward raw, w_lane 8"
PPO,ppo_v3,191488,0.8300423674320221,4315.851045828112,11.915937660510913,-1.7268003270030021,"reward raw, w_lane 8"
PPO,ppo_v3,192512,0.9334824843517224,4740.438003371861,11.873055453766865,-1.7276153311133384,"reward raw, w_lane 8"
PPO,ppo_v3,193536,0.6059676884849052,4143.01886829814,11.809560107748991,-1.728077332675457,"reward raw, w_lane 8"
PPO,ppo_v3,194560,0.9354550470013046,4463.754343911348,12.102518143207666,-1.7281562387943268,"reward raw, w_lane 8"
PPO,ppo_v3,195584,0.9124354259659505,4498.166826389983,11.868237399549079,-1.7290172532200814,"reward raw, w_lane 8"
PPO,ppo_v3,196608,0.8485895027482099,4838.560120904679,12.10195093584902,-1.7291807129979133,"reward raw, w_lane 8"
PPO,ppo_v3,197632,0.96438866937932,5040.169325576008,11.798174500570886,-1.7292605265974998,"reward raw, w_lane 8"
PPO,ppo_v3,198656,0.9482430648565474,4677.090448326479,11.944726216516706,-1.7301678121089936,"reward raw, w_lane 8"
PPO,ppo_v3,199680,0.8436443797794223,598.8869638172356,11.293035145678568,-1.7309206247329711,"reward raw, w_lane 8"
PPO,ppo_v3,200704,0.713928682104185,2938.014280940659,12.007628768841403,-1.731277170777321,"reward raw, w_lane 8"
PPO,ppo_v3,201728,0.842227224122348,4068.9225920433973,12.024774886940778,-1.7319715216755867,"reward raw, w_lane 8"
PPO,ppo_v3,202752,0.9131216189244528,4376.624875483719,11.907221318962275,-1.732919232547283,"reward raw, w_lane 8"
PPO,ppo_v3,203776,0.7215778136896625,4415.753932169892,11.788289394503586,-1.733917847275734,"reward raw, w_lane 8"
PPO,ppo_v3,204800,0.8987255862632818,4358.937992548161,11.875618979186417,-1.7343592569231987,"reward raw, w_lane 8"
PPO,ppo_v3,205824,0.9318931681530015,3719.9785428843584,11.850333774572858,-1.7342824548482896,"reward raw, w_lane 8"
PPO,ppo_v3,206848,0.7189415757349122,4040.9624774971453,11.736100958911784,-1.7337318390607834,"reward raw, w_lane 8"
PPO,ppo_v3,207872,0.9564904833759281,2719.1506464209015,11.797618350639302,-1.733054880797863,"reward raw, w_lane 8"
PPO,ppo_v3,208896,0.9654051212656047,2360.969986714415,11.824857109348471,-1.733976063132286,"reward raw, w_lane 8"
PPO,ppo_v3,209920,0.9016844433901182,2610.6218979807063,11.939508988665933,-1.7346123203635215,"reward raw, w_lane 8"
PPO,ppo_v3,210944,0.9722518958497607,2983.350534964974,11.828441023038996,-1.7350786224007606,"reward raw, w_lane 8"
PPO,ppo_v3,211968,0.5593962218389565,3324.261559240966,12.03229580190395,-1.7361513063311578,"reward raw, w_lane 8"
PPO,ppo_v3,212992,0.9548947819586665,3602.4925593135704,11.869534795176104,-1.737580107152462,"reward raw, w_lane 8"
PPO,ppo_v3,214016,0.9132157100750231,3475.1401560970944,11.560821944684058,-1.738733235001564,"reward raw, w_lane 8"
