algo,run,env_step,town,terminate_reason,episode_len,episode_reward,mean_abs_lane_offset_road,junction_steps,ghi_chu
PPO,ppo_v1,72704,,off_lane,180,1036.4374604377304,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,72704,,off_lane,311,2244.2603103047486,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,72704,,time_limit,500,6820.345418909603,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,72704,,collision,67,113.22969915733796,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,73728,,time_limit,500,6592.862698125821,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,73728,,collision,286,2201.0114282969416,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,74752,,time_limit,500,5099.506383941982,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,74752,,collision,32,-201.80369442749344,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,74752,,time_limit,500,7031.319129386044,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,75776,,collision,322,2443.3103628379263,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,75776,,time_limit,500,6415.56450579599,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,76800,,time_limit,500,6373.2086607322335,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,76800,,off_lane,190,1787.1642849174834,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,76800,,collision,490,5790.1268095256655,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,77824,,time_limit,500,7329.25700520083,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,77824,,collision,322,3588.056955595571,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,77824,,collision,50,-56.63494420910223,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,77824,,collision,45,-88.07297366464235,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,78848,,time_limit,500,7131.9557034056215,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,78848,,time_limit,500,6752.902509683712,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,79872,,time_limit,500,7189.850382552171,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,79872,,time_limit,500,6633.617813108463,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,80896,,time_limit,500,7014.594517298558,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,80896,,collision,203,922.8343469496288,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,80896,,time_limit,500,6884.513652776188,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,80896,,collision,155,378.2379408279203,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,81920,,collision,270,2215.6361118893174,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,81920,,time_limit,500,6786.270961024318,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,81920,,collision,76,150.69426681486146,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,81920,,collision,88,233.66279321775653,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,82944,,time_limit,500,6675.655879185511,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,82944,,collision,265,2186.8432673401257,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,82944,,collision,34,-200.84742220178725,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,82944,,collision,89,140.07234924064664,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,83968,,time_limit,500,7488.306611649097,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,83968,,time_limit,500,6957.957742884491,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,84992,,collision,474,6183.270851633091,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,84992,,time_limit,500,5167.838430896527,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,84992,,off_lane,328,3905.548868953278,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,86016,,time_limit,500,6935.691682192754,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,86016,,collision,87,337.5009406210216,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,86016,,time_limit,500,7110.295401742655,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,87040,,collision,69,83.89429472231649,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,87040,,time_limit,500,6252.901900954338,,,"reward raw, penalty 300, chi Town04"
